,Calyx,,,,gamma,,,,beta,,,,betaprime,,,,alpha,,,,alphaprime,,,
,22c,,31c,,22c,,31c,,22c,,31c,,22c,,31c,,22c,,31c,,22c,,31c,
,ctrl,TRPA,ctrl,TRPA,ctrl,TRPA,ctrl,TRPA,ctrl,TRPA,ctrl,TRPA,ctrl,TRPA,ctrl,TRPA,ctrl,TRPA,ctrl,TRPA,ctrl,TRPA,ctrl,TRPA
fly1,0.53485483,0.14022566,0.18316145,0.617163,0.25862387,-0.061936598,0.27216935,0.060308773,0.032904118,-0.012797667,0.52823097,0.47456226,0.16367051,0.18792367,0.30118516,0.53945345,0.2017795,0.013600967,0.36776209,0.51219046,0.22941367,0.13847277,0.39907062,0.646249
,0.57328469,0.29152501,0.33807078,0.79420227,0.23714516,0.089944668,0.32795808,0.10061032,0.13539355,0.13347967,0.62485158,0.73060548,0.19525161,0.097292766,0.37788418,0.74724066,0.15753353,0.20486566,0.22396959,0.59192759,0.25231627,0.16101336,0.2830393,0.72417808
,0.31046036,0.093016833,0.10109016,0.4320859,0.20396613,0.101245,0.33488259,0.043134034,0.13920338,0.12945406,0.42583227,0.51277226,0.15837798,0.21843383,0.32540512,0.46394676,0.23591967,0.25845635,0.088440977,0.30377653,0.288239,0.40029234,0.054854434,0.19473235
,0.59266603,0.1396157,0.159684,0.43671328,0.17269696,0.040901572,0.49412581,0.046012193,0.033872619,0.001829799,0.42404023,0.62463748,0.17797162,0.17986023,0.39560515,0.51376033,0.18227933,0.11146753,0.14923191,0.47068661,0.27524367,0.29467639,0.17762491,0.73051816
,0.45449561,0.095212467,0.14167574,0.54710156,0.053913224,-0.0288407,0.4344916,0.028590167,-0.067717932,-0.071300536,0.38174549,0.6234684,0.074526422,0.1251076,0.33554935,0.52864224,0.065389067,-0.0635368,0.10424663,0.4271301,0.13530391,0.0517378,0.21575087,0.69038856
,0.29580274,0.10344967,0.078359202,0.24814314,0.15783219,-0.015639067,0.49148807,0.050210319,0.000473097,-0.0060178,0.36063644,0.34366295,0.11879148,0.017260734,0.22250807,0.24304162,0.093099996,-0.000103643,0.13886343,0.24725206,0.12560934,0.087316334,0.17379142,0.40106824
,0.42987967,0.24834137,0.1561752,0.569673,0.32200581,0.082116403,0.77241611,0.20153061,0.29778197,0.2554298,0.88143837,0.9300884,0.36247548,0.42717034,0.65688127,0.75537014,0.36025766,0.27517754,0.25651938,0.5110082,0.51069301,0.39688432,0.26634935,0.47271839
fly2,0.18442391,0.080979563,0.8170588,0.41661942,0.19993432,0.10411634,0.19765277,0.183506,0.24863429,0.19954823,0.47324592,0.57657564,0.24984804,0.14332899,0.40994579,0.46608368,0.15994017,0.056784667,0.21523198,0.47415555,0.20612872,0.12277833,0.16967279,0.91075099
,0.36427721,0.12948766,0.85990149,0.50423491,0.11996623,-0.186023,0.25463426,0.19102654,0.18308966,-0.11028667,0.48723972,0.51133019,0.18721567,0.20993733,0.509628,0.63430864,0.17278162,0.20133419,0.24171396,0.43776977,0.23599386,0.217813,0.22130832,0.82267547
,0.18596064,0.10166194,0.30321962,0.24764164,0.10136667,0.19433767,0.14558233,0.056418166,0.26343101,0.36654699,0.39036599,0.4224005,0.26116365,0.22892047,0.35343668,0.42138174,0.16134728,0.22874819,0.11741509,0.41945052,0.18635871,0.1818327,0.12103128,0.71235132
